Model,Displ,Fuel,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,CityKML,HwyKML,CmbKML
INFINITI Q50 Red Sport,3.0,Gasoline,20.0,26.0,22.0,4,8.5028,11.05364,9.35308
INFINITI Q50 Red Sport,3.0,Gasoline,19.0,26.0,22.0,4,8.07766,11.05364,9.35308
INFINITI Q60,2.0,Gasoline,22.0,30.0,25.0,5,9.35308,12.7542,10.6285
INFINITI Q60,2.0,Gasoline,21.0,28.0,24.0,5,8.92794,11.903920000000001,10.20336
INFINITI Q60,3.0,Gasoline,19.0,28.0,22.0,4,8.07766,11.903920000000001,9.35308
INFINITI Q60,3.0,Gasoline,19.0,27.0,22.0,4,8.07766,11.47878,9.35308
INFINITI Q60 Red Sport,3.0,Gasoline,20.0,27.0,22.0,4,8.5028,11.47878,9.35308
INFINITI Q60 Red Sport,3.0,Gasoline,19.0,26.0,21.0,4,8.07766,11.05364,8.92794
INFINITI Q70,3.7,Gasoline,18.0,25.0,21.0,4,7.65252,10.6285,8.92794
INFINITI Q70,3.7,Gasoline,18.0,24.0,20.0,4,7.65252,10.20336,8.5028
INFINITI Q70,5.6,Gasoline,16.0,24.0,19.0,3,6.80224,10.20336,8.07766
INFINITI Q70,5.6,Gasoline,16.0,23.0,18.0,3,6.80224,9.778220000000001,7.65252
INFINITI QX30,2.0,Gasoline,24.0,33.0,27.0,6,10.20336,14.029620000000001,11.47878
INFINITI QX30,2.0,Gasoline,21.0,30.0,25.0,5,8.92794,12.7542,10.6285
INFINITI QX80,5.6,Gasoline,14.0,20.0,16.0,2,5.951960000000001,8.5028,6.80224
INFINITI QX80,5.6,Gasoline,13.0,19.0,15.0,2,5.52682,8.07766,6.3771
JAGUAR F-Pace,5.0,Gasoline,16.0,21.0,18.0,3,6.80224,8.92794,7.65252
JAGUAR F-Type R Convertible,5.0,Gasoline,15.0,23.0,18.0,3,6.3771,9.778220000000001,7.65252
JAGUAR F-Type R Coupe,5.0,Gasoline,15.0,23.0,18.0,3,6.3771,9.778220000000001,7.65252
JAGUAR F-Type SVR Convertible GEN2,5.0,Gasoline,16.0,24.0,18.0,3,6.80224,10.20336,7.65252
JAGUAR F-Type SVR Coupe GEN2,5.0,Gasoline,16.0,24.0,18.0,3,6.80224,10.20336,7.65252
JAGUAR XE,5.0,Gasoline,16.0,22.0,18.0,3,6.80224,9.35308,7.65252
JAGUAR XJ,5.0,Gasoline,15.0,23.0,18.0,3,6.3771,9.778220000000001,7.65252
JAGUAR XJL,5.0,Gasoline,15.0,23.0,18.0,3,6.3771,9.778220000000001,7.65252
KIA Cadenza,3.3,Gasoline,20.0,27.0,23.0,5,8.5028,11.47878,9.778220000000001
KIA K900,3.3,Gasoline,18.0,25.0,21.0,4,7.65252,10.6285,8.92794
KIA Optima Hybrid,2.0,Gasoline,39.0,45.0,41.0,9,16.580460000000002,19.1313,17.43074
KIA Rio,1.6,Gasoline,29.0,37.0,32.0,7,12.32906,15.73018,13.60448
KIA Rio,1.6,Gasoline,28.0,37.0,32.0,7,11.903920000000001,15.73018,13.60448
KIA Soul,1.6,Gasoline,26.0,31.0,28.0,6,11.05364,13.17934,11.903920000000001
KIA Soul,1.6,Gasoline,24.0,30.0,27.0,6,10.20336,12.7542,11.47878
KIA Soul,1.6,Gasoline,26.0,31.0,28.0,6,11.05364,13.17934,11.903920000000001
KIA Sportage,2.0,Gasoline,21.0,26.0,23.0,5,8.92794,11.05364,9.778220000000001
KIA Sportage,2.0,Gasoline,20.0,23.0,21.0,4,8.5028,9.778220000000001,8.92794
KIA Stinger,2.0,Gasoline,22.0,29.0,25.0,5,9.35308,12.32906,10.6285
KIA Stinger,2.0,Gasoline,21.0,29.0,24.0,5,8.92794,12.32906,10.20336
KIA Stinger,3.3,Gasoline,17.0,25.0,20.0,4,7.22738,10.6285,8.5028
KIA Stinger,3.3,Gasoline,17.0,25.0,20.0,4,7.22738,10.6285,8.5028
LAMBORGHINI Urus,4.0,Gasoline,12.0,17.0,14.0,1,5.10168,7.22738,5.951960000000001
LAND ROVER Range Rover,5.0,Gasoline,16.0,21.0,18.0,3,6.80224,8.92794,7.65252
LAND ROVER Range Rover LWB,5.0,Gasoline,16.0,21.0,18.0,3,6.80224,8.92794,7.65252
LAND ROVER Range Rover LWB SVA,5.0,Gasoline,13.0,19.0,15.0,2,5.52682,8.07766,6.3771
LAND ROVER Range Rover SV,5.0,Gasoline,14.0,19.0,16.0,2,5.951960000000001,8.07766,6.80224
LAND ROVER Range Rover SVA,5.0,Gasoline,14.0,19.0,16.0,2,5.951960000000001,8.07766,6.80224
LAND ROVER Range Rover Sport,5.0,Gasoline,17.0,22.0,19.0,3,7.22738,9.35308,8.07766
LAND ROVER Range Rover Sport SVR,5.0,Gasoline,15.0,20.0,16.0,2,6.3771,8.5028,6.80224
LEXUS GS 300,2.0,Gasoline,22.0,32.0,26.0,5,9.35308,13.60448,11.05364
LEXUS GS 300 F Sport,2.0,Gasoline,21.0,30.0,24.0,5,8.92794,12.7542,10.20336
LEXUS GX 460,4.6,Gasoline,15.0,18.0,16.0,2,6.3771,7.65252,6.80224
LEXUS LS 500,3.4,Gasoline,19.0,30.0,23.0,5,8.07766,12.7542,9.778220000000001
LEXUS LS 500,3.4,Gasoline,18.0,27.0,21.0,4,7.65252,11.47878,8.92794
LEXUS LX 570,5.7,Gasoline,13.0,18.0,15.0,2,5.52682,7.65252,6.3771
LEXUS NX 300,2.0,Gasoline,22.0,28.0,25.0,5,9.35308,11.903920000000001,10.6285
LEXUS NX 300,2.0,Gasoline,22.0,28.0,24.0,5,9.35308,11.903920000000001,10.20336
LEXUS NX 300 F Sport,2.0,Gasoline,22.0,27.0,24.0,5,9.35308,11.47878,10.20336
LINCOLN Continental,3.7,Gasoline,17.0,26.0,20.0,4,7.22738,11.05364,8.5028
