Model,Displ,Fuel,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,CityKML,HwyKML,CmbKML
LINCOLN Continental,3.7,Gasoline,16.0,24.0,19.0,3,6.80224,10.20336,8.07766
LINCOLN MKC,2.3,Gasoline,18.0,25.0,20.0,4,7.65252,10.6285,8.5028
LINCOLN MKT,3.5,Gasoline,15.0,21.0,17.0,3,6.3771,8.92794,7.22738
LINCOLN MKT,3.7,Gasoline,16.0,24.0,19.0,3,6.80224,10.20336,8.07766
LINCOLN MKT Livery,3.7,Gasoline,16.0,23.0,18.0,3,6.80224,9.778220000000001,7.65252
MAZDA 2,1.5,Gasoline,30.0,39.0,34.0,8,12.7542,16.580460000000002,14.45476
MAZDA 2,1.5,Gasoline,32.0,40.0,35.0,8,13.60448,17.0056,14.879900000000001
MAZDA 6,2.5,Gasoline,23.0,31.0,26.0,5,9.778220000000001,13.17934,11.05364
MAZDA CX-3,2.0,Gasoline,29.0,34.0,31.0,7,12.32906,14.45476,13.17934
MAZDA CX-3,2.0,Gasoline,27.0,32.0,29.0,6,11.47878,13.60448,12.32906
MAZDA CX-5 2WD,2.5,Gasoline,23.0,28.0,25.0,5,9.778220000000001,11.903920000000001,10.6285
MAZDA CX-5 4WD,2.5,Gasoline,22.0,27.0,24.0,5,9.35308,11.47878,10.20336
MAZDA CX-9,2.5,Gasoline,22.0,28.0,24.0,5,9.35308,11.903920000000001,10.20336
MAZDA CX-9,2.5,Gasoline,20.0,26.0,23.0,5,8.5028,11.05364,9.778220000000001
MAZDA MX-5,2.0,Gasoline,26.0,34.0,29.0,6,11.05364,14.45476,12.32906
MAZDA MX-5,2.0,Gasoline,26.0,35.0,30.0,7,11.05364,14.879900000000001,12.7542
MERCEDES-BENZ AMG C63,4.0,Gasoline,17.0,24.0,20.0,4,7.22738,10.20336,8.5028
MERCEDES-BENZ AMG C63,4.0,Gasoline,17.0,26.0,20.0,4,7.22738,11.05364,8.5028
MERCEDES-BENZ AMG C63,4.0,Gasoline,18.0,27.0,21.0,4,7.65252,11.47878,8.92794
MERCEDES-BENZ AMG C63,4.0,Gasoline,17.0,24.0,20.0,4,7.22738,10.20336,8.5028
MERCEDES-BENZ AMG C63,4.0,Gasoline,17.0,26.0,20.0,4,7.22738,11.05364,8.5028
MERCEDES-BENZ AMG C63,4.0,Gasoline,18.0,27.0,21.0,4,7.65252,11.47878,8.92794
MERCEDES-BENZ AMG C63 S,4.0,Gasoline,17.0,24.0,20.0,4,7.22738,10.20336,8.5028
MERCEDES-BENZ AMG C63 S,4.0,Gasoline,17.0,26.0,20.0,4,7.22738,11.05364,8.5028
MERCEDES-BENZ AMG C63 S,4.0,Gasoline,18.0,27.0,21.0,4,7.65252,11.47878,8.92794
MERCEDES-BENZ AMG C63 S,4.0,Gasoline,17.0,24.0,20.0,4,7.22738,10.20336,8.5028
MERCEDES-BENZ AMG C63 S,4.0,Gasoline,17.0,26.0,20.0,4,7.22738,11.05364,8.5028
MERCEDES-BENZ AMG C63 S,4.0,Gasoline,18.0,27.0,21.0,4,7.65252,11.47878,8.92794
MERCEDES-BENZ AMG CLA45 4Matic,2.0,Gasoline,23.0,30.0,26.0,5,9.778220000000001,12.7542,11.05364
MERCEDES-BENZ AMG E63 S 4Matic,4.0,Gasoline,15.0,23.0,18.0,3,6.3771,9.778220000000001,7.65252
MERCEDES-BENZ AMG E63 S 4Matic,4.0,Gasoline,16.0,23.0,19.0,3,6.80224,9.778220000000001,8.07766
MERCEDES-BENZ AMG E63 S 4Matic,4.0,Gasoline,15.0,23.0,18.0,3,6.3771,9.778220000000001,7.65252
MERCEDES-BENZ AMG E63 S 4Matic,4.0,Gasoline,16.0,23.0,19.0,3,6.80224,9.778220000000001,8.07766
MERCEDES-BENZ AMG G63,4.0,Gasoline,13.0,15.0,14.0,1,5.52682,6.3771,5.951960000000001
MERCEDES-BENZ AMG GLA45 4Matic,2.0,Gasoline,22.0,28.0,25.0,5,9.35308,11.903920000000001,10.6285
MERCEDES-BENZ AMG GLE 43 4Matic,3.0,Gasoline,17.0,22.0,19.0,3,7.22738,9.35308,8.07766
MERCEDES-BENZ AMG GLE 43 4Matic,3.0,Gasoline,17.0,22.0,19.0,3,7.22738,9.35308,8.07766
MERCEDES-BENZ AMG GLE63,5.5,Gasoline,12.0,18.0,14.0,1,5.10168,7.65252,5.951960000000001
MERCEDES-BENZ AMG GLE63 S,5.5,Gasoline,14.0,18.0,15.0,2,5.951960000000001,7.65252,6.3771
MERCEDES-BENZ AMG GLE63 S,5.5,Gasoline,14.0,18.0,15.0,2,5.951960000000001,7.65252,6.3771
MERCEDES-BENZ AMG GLS63,5.5,Gasoline,13.0,18.0,15.0,2,5.52682,7.65252,6.3771
MERCEDES-BENZ AMG GT,4.0,Gasoline,16.0,22.0,18.0,3,6.80224,9.35308,7.65252
MERCEDES-BENZ AMG GT,4.0,Gasoline,16.0,22.0,18.0,3,6.80224,9.35308,7.65252
MERCEDES-BENZ AMG GT C,4.0,Gasoline,15.0,21.0,17.0,3,6.3771,8.92794,7.22738
MERCEDES-BENZ AMG GT C,4.0,Gasoline,15.0,21.0,17.0,3,6.3771,8.92794,7.22738
MERCEDES-BENZ AMG GT R,4.0,Gasoline,15.0,20.0,17.0,3,6.3771,8.5028,7.22738
MERCEDES-BENZ AMG GT R,4.0,Gasoline,15.0,20.0,17.0,3,6.3771,8.5028,7.22738
MERCEDES-BENZ AMG GT S,4.0,Gasoline,16.0,22.0,18.0,3,6.80224,9.35308,7.65252
MERCEDES-BENZ AMG GT S,4.0,Gasoline,16.0,22.0,18.0,3,6.80224,9.35308,7.65252
MERCEDES-BENZ AMG S65,6.0,Gasoline,13.0,22.0,16.0,2,5.52682,9.35308,6.80224
MERCEDES-BENZ AMG S65,6.0,Gasoline,13.0,21.0,16.0,2,5.52682,8.92794,6.80224
MERCEDES-BENZ AMG S65,6.0,Gasoline,14.0,21.0,16.0,2,5.951960000000001,8.92794,6.80224
MERCEDES-BENZ AMG SL63,5.5,Gasoline,15.0,23.0,18.0,3,6.3771,9.778220000000001,7.65252
MERCEDES-BENZ G550,4.0,Gasoline,13.0,17.0,14.0,1,5.52682,7.22738,5.951960000000001
MERCEDES-BENZ GLE400 4Matic,3.0,Gasoline,17.0,23.0,20.0,4,7.22738,9.778220000000001,8.5028
MERCEDES-BENZ GLS450 4Matic,3.0,Gasoline,16.0,22.0,18.0,3,6.80224,9.35308,7.65252
MERCEDES-BENZ GLS550 4Matic,4.7,Gasoline,14.0,19.0,16.0,2,5.951960000000001,8.07766,6.80224
MERCEDES-BENZ Maybach S650,6.0,Gasoline,13.0,21.0,16.0,2,5.52682,8.92794,6.80224
MERCEDES-BENZ S450,3.0,Gasoline,19.0,28.0,22.0,4,8.07766,11.903920000000001,9.35308
MERCEDES-BENZ S450 4Matic,3.0,Gasoline,18.0,28.0,22.0,4,7.65252,11.903920000000001,9.35308
MERCEDES-BENZ SL450,3.0,Gasoline,20.0,28.0,23.0,5,8.5028,11.903920000000001,9.778220000000001
MERCEDES-BENZ SL550,4.7,Gasoline,17.0,25.0,20.0,4,7.22738,10.6285,8.5028
MERCEDES-BENZ SLC300,2.0,Gasoline,23.0,32.0,27.0,6,9.778220000000001,13.60448,11.47878
MINI Cooper Clubman All4,1.5,Gasoline,22.0,32.0,26.0,5,9.35308,13.60448,11.05364
MINI Cooper Clubman All4,1.5,Gasoline,23.0,31.0,26.0,5,9.778220000000001,13.17934,11.05364
MINI Cooper Countryman,1.5,Gasoline,24.0,33.0,28.0,6,10.20336,14.029620000000001,11.903920000000001
MINI Cooper Countryman,1.5,Gasoline,24.0,32.0,27.0,6,10.20336,13.60448,11.47878
MINI Cooper Countryman All4,1.5,Gasoline,22.0,32.0,26.0,5,9.35308,13.60448,11.05364
MINI Cooper Countryman All4,1.5,Gasoline,23.0,30.0,25.0,5,9.778220000000001,12.7542,10.6285
MINI JCW Countryman All4,2.0,Gasoline,21.0,30.0,24.0,5,8.92794,12.7542,10.20336
MINI JCW Countryman All4,2.0,Gasoline,22.0,30.0,25.0,5,9.35308,12.7542,10.6285
MINI John Cooper Works Clubman All4,2.0,Gasoline,21.0,30.0,24.0,5,8.92794,12.7542,10.20336
MINI John Cooper Works Clubman All4,2.0,Gasoline,23.0,31.0,26.0,5,9.778220000000001,13.17934,11.05364
MINI John Cooper Works Convertible,2.0,Gasoline,22.0,31.0,25.0,5,9.35308,13.17934,10.6285
MINI John Cooper Works Convertible,2.0,Gasoline,25.0,33.0,28.0,6,10.6285,14.029620000000001,11.903920000000001
MINI John Cooper Works Hardtop,2.0,Gasoline,23.0,32.0,26.0,5,9.778220000000001,13.60448,11.05364
MINI John Cooper Works Hardtop,2.0,Gasoline,25.0,32.0,28.0,6,10.6285,13.60448,11.903920000000001
NISSAN 370Z,3.7,Gasoline,17.0,26.0,20.0,4,7.22738,11.05364,8.5028
NISSAN 370Z,3.7,Gasoline,19.0,26.0,22.0,4,8.07766,11.05364,9.35308
NISSAN 370Z Roadster,3.7,Gasoline,18.0,25.0,21.0,4,7.65252,10.6285,8.92794
NISSAN Armada,5.6,Gasoline,14.0,19.0,16.0,2,5.951960000000001,8.07766,6.80224
NISSAN Armada,5.6,Gasoline,13.0,18.0,15.0,2,5.52682,7.65252,6.3771
NISSAN Frontier,2.5,Gasoline,17.0,22.0,19.0,3,7.22738,9.35308,8.07766
NISSAN Frontier,2.5,Gasoline,19.0,23.0,21.0,4,8.07766,9.778220000000001,8.92794
NISSAN Frontier,4.0,Gasoline,16.0,23.0,19.0,3,6.80224,9.778220000000001,8.07766
NISSAN Frontier,4.0,Gasoline,15.0,21.0,17.0,3,6.3771,8.92794,7.22738
NISSAN Frontier,4.0,Gasoline,16.0,22.0,19.0,3,6.80224,9.35308,8.07766
NISSAN Frontier,4.0,Gasoline,16.0,21.0,18.0,3,6.80224,8.92794,7.65252
NISSAN GT-R,3.8,Gasoline,16.0,22.0,18.0,3,6.80224,9.35308,7.65252
NISSAN Maxima,3.5,Gasoline,20.0,30.0,24.0,5,8.5028,12.7542,10.20336
NISSAN NV200,2.0,Gasoline,24.0,26.0,25.0,5,10.20336,11.05364,10.6285
NISSAN NV200,2.0,Gasoline,23.0,26.0,24.0,5,9.778220000000001,11.05364,10.20336
NISSAN Pathfinder 4WD Platinum,3.5,Gasoline,19.0,26.0,21.0,4,8.07766,11.05364,8.92794
NISSAN Rogue Hybrid,2.0,Gasoline,33.0,35.0,34.0,8,14.029620000000001,14.879900000000001,14.45476
NISSAN Rogue Hybrid,2.0,Gasoline,31.0,34.0,33.0,8,13.17934,14.45476,14.029620000000001
NISSAN Sentra,1.6,Gasoline,27.0,33.0,29.0,6,11.47878,14.029620000000001,12.32906
NISSAN Sentra Nismo,1.6,Gasoline,25.0,31.0,27.0,6,10.6285,13.17934,11.47878
NISSAN Sentra Nismo,1.6,Gasoline,25.0,30.0,27.0,6,10.6285,12.7542,11.47878
NISSAN Titan,5.6,Gasoline,15.0,21.0,18.0,3,6.3771,8.92794,7.65252
NISSAN Titan,5.6,Gasoline,15.0,21.0,18.0,3,6.3771,8.92794,7.65252
NISSAN Titan Pro-4X,5.6,Gasoline,15.0,20.0,17.0,3,6.3771,8.5028,7.22738
NISSAN Versa,1.6,Gasoline,31.0,39.0,34.0,8,13.17934,16.580460000000002,14.45476
NISSAN Versa,1.6,Gasoline,27.0,36.0,30.0,7,11.47878,15.30504,12.7542
PORSCHE Boxster,2.0,Gasoline,22.0,29.0,25.0,5,9.35308,12.32906,10.6285
PORSCHE Boxster,2.0,Gasoline,21.0,28.0,24.0,5,8.92794,11.903920000000001,10.20336
PORSCHE Boxster GTS,2.5,Gasoline,20.0,26.0,22.0,4,8.5028,11.05364,9.35308
PORSCHE Boxster GTS,2.5,Gasoline,19.0,25.0,21.0,4,8.07766,10.6285,8.92794
PORSCHE Boxster S,2.5,Gasoline,21.0,28.0,24.0,5,8.92794,11.903920000000001,10.20336
PORSCHE Boxster S,2.5,Gasoline,20.0,26.0,22.0,4,8.5028,11.05364,9.35308
PORSCHE Cayenne Turbo,4.0,Gasoline,15.0,19.0,17.0,3,6.3771,8.07766,7.22738
PORSCHE Cayman,2.0,Gasoline,22.0,29.0,25.0,5,9.35308,12.32906,10.6285
PORSCHE Cayman,2.0,Gasoline,21.0,28.0,24.0,5,8.92794,11.903920000000001,10.20336
PORSCHE Cayman GTS,2.5,Gasoline,20.0,26.0,22.0,4,8.5028,11.05364,9.35308
PORSCHE Cayman GTS,2.5,Gasoline,19.0,25.0,21.0,4,8.07766,10.6285,8.92794
PORSCHE Cayman S,2.5,Gasoline,21.0,28.0,24.0,5,8.92794,11.903920000000001,10.20336
PORSCHE Cayman S,2.5,Gasoline,20.0,26.0,22.0,4,8.5028,11.05364,9.35308
PORSCHE Panamera GTS,4.0,Gasoline,16.0,23.0,19.0,3,6.80224,9.778220000000001,8.07766
PORSCHE Panamera GTS ST,4.0,Gasoline,15.0,22.0,18.0,3,6.3771,9.35308,7.65252
PORSCHE Panamera Turbo,4.0,Gasoline,18.0,25.0,21.0,4,7.65252,10.6285,8.92794
PORSCHE Panamera Turbo Executive,4.0,Gasoline,18.0,25.0,21.0,4,7.65252,10.6285,8.92794
PORSCHE Panamera Turbo ST,4.0,Gasoline,18.0,23.0,20.0,4,7.65252,9.778220000000001,8.5028
ROLLS-ROYCE Cullinan,6.7,Gasoline,12.0,20.0,14.0,1,5.10168,8.5028,5.951960000000001
ROLLS-ROYCE Dawn,6.6,Gasoline,12.0,18.0,14.0,1,5.10168,7.65252,5.951960000000001
ROLLS-ROYCE Ghost,6.6,Gasoline,12.0,18.0,14.0,1,5.10168,7.65252,5.951960000000001
ROLLS-ROYCE Ghost EWB,6.6,Gasoline,12.0,18.0,14.0,1,5.10168,7.65252,5.951960000000001
ROLLS-ROYCE Phantom,6.7,Gasoline,12.0,20.0,14.0,1,5.10168,8.5028,5.951960000000001
ROLLS-ROYCE Phantom EWB,6.7,Gasoline,12.0,20.0,14.0,1,5.10168,8.5028,5.951960000000001
ROLLS-ROYCE Wraith,6.6,Gasoline,12.0,18.0,14.0,1,5.10168,7.65252,5.951960000000001
ROUSH F150,5.0,Gasoline,11.0,15.0,12.0,1,4.67654,6.3771,5.10168
ROUSH F150,5.0,Gasoline,11.0,15.0,12.0,1,4.67654,6.3771,5.10168
ROUSH Stage 3 Mustang,5.0,Gasoline,13.0,20.0,15.0,2,5.52682,8.5028,6.3771
ROUSH Stage 3 Mustang,5.0,Gasoline,12.0,19.0,15.0,2,5.10168,8.07766,6.3771
SUBARU Ascent,2.4,Gasoline,21.0,27.0,23.0,5,8.92794,11.47878,9.778220000000001
SUBARU Ascent Limited/Touring,2.4,Gasoline,20.0,26.0,22.0,4,8.5028,11.05364,9.35308
SUBARU Legacy,3.6,Gasoline,20.0,28.0,23.0,5,8.5028,11.903920000000001,9.778220000000001
SUBARU Outback AWD,3.6,Gasoline,20.0,27.0,22.0,4,8.5028,11.47878,9.35308
TOYOTA 4Runner,4.0,Gasoline,17.0,21.0,18.0,3,7.22738,8.92794,7.65252
TOYOTA 4Runner,4.0,Gasoline,17.0,20.0,18.0,3,7.22738,8.5028,7.65252
TOYOTA C-HR,2.0,Gasoline,27.0,31.0,29.0,6,11.47878,13.17934,12.32906
TOYOTA Corolla,1.8,Gasoline,28.0,36.0,32.0,7,11.903920000000001,15.30504,13.60448
TOYOTA Corolla,1.8,Gasoline,27.0,35.0,30.0,7,11.47878,14.879900000000001,12.7542
TOYOTA Corolla,1.8,Gasoline,28.0,35.0,31.0,7,11.903920000000001,14.879900000000001,13.17934
TOYOTA Highlander,2.7,Gasoline,20.0,24.0,22.0,4,8.5028,10.20336,9.35308
TOYOTA Land Cruiser,5.7,Gasoline,13.0,18.0,15.0,2,5.52682,7.65252,6.3771
TOYOTA Tundra,4.6,Gasoline,15.0,19.0,16.0,2,6.3771,8.07766,6.80224
TOYOTA Tundra,4.6,Gasoline,14.0,18.0,16.0,2,5.951960000000001,7.65252,6.80224
TOYOTA Yaris,1.5,Gasoline,30.0,35.0,32.0,7,12.7542,14.879900000000001,13.60448
TOYOTA Yaris,1.5,Gasoline,30.0,39.0,34.0,8,12.7542,16.580460000000002,14.45476
TOYOTA Yaris,1.5,Gasoline,32.0,40.0,35.0,8,13.60448,17.0056,14.879900000000001
VOLKSWAGEN Arteon,2.0,Gasoline,22.0,31.0,25.0,5,9.35308,13.17934,10.6285
VOLKSWAGEN Arteon 4Motion,2.0,Gasoline,20.0,27.0,23.0,5,8.5028,11.47878,9.778220000000001
VOLKSWAGEN Atlas,2.0,Gasoline,20.0,26.0,22.0,4,8.5028,11.05364,9.35308
VOLKSWAGEN Golf R,2.0,Gasoline,23.0,30.0,26.0,5,9.778220000000001,12.7542,11.05364
VOLKSWAGEN Golf R,2.0,Gasoline,21.0,29.0,24.0,5,8.92794,12.32906,10.20336
